Type,Position,StartYear,EndYear,Title,Link,Institution,City,State,Country,Department,Supervisor,Bullet_1,Bullet_2,Bullet_3,Bullet_4,Bullet_5,Bullet_6,Bullet_7,Bullet_8,Bullet_9,Bullet_10,Bullet_11,Bullet_12,Bullet_13,Bullet_14,Bullet_15,Bullet_16,Bullet_17,Bullet_18,Bullet_19,Bullet_20
teaching,Teaching Assistant,2013,2014,,https://anthropology.columbian.gwu.edu/,The George Washington University,Washington,DC,USA,Department of Anthropology,Rene Bobe,Course: 'Biological Anthropology',"Led undergraduate students in two, 2-hour lab sessions per week, graded lab assignments and exams, and provided additional educational support during office hours.",,,,,,,,,,,,,,,,,,
teaching,Research Mentor,2012,2013,,https://psychology.columbian.gwu.edu/,The George Washington University,Washington,DC,USA,Department of Psychology,,Mentored students and affiliated projects:,Anushka Gokhale (BSc): 'Infants' Social Assessment of Characters Through Eye Gaze' ,,,,,,,,,,,,,,,,,,
teaching,Lab Protocol Trainer,2011,2013,,https://anthropology.columbian.gwu.edu/,The George Washington University,Washington,DC,USA,Department of Anthropology,"Francys Subiaul, PhD / Chet C. Sherwood, PhD","Trained undergraduate, graduate, and post-doctoral researchers in Social Cognition Lab and Lab for Evolutionary Neuroscience in a variety of methodological research protocols.",,,,,,,,,,,,,,,,,,,
data visualisation,echoverse Dependency Graph,2022,,,https://rajlabmssm.github.io/Fine_Mapping/echolocatoR.dep_graph.html,,,,"London, UK",,,Interactve graph showing the dependency structure of all packages within the [echoverse](https://github.com/RajLabMSSM/echolocatoR#the-echoverse) suite.,,,,,,,,,,,,,,,,,,,
data visualisation,Hex stickers,2020,\-,,https://raw.githubusercontent.com/RajLabMSSM/echolocatoR/master/inst/hex/hex.png,,,,"London, UK",,,All hex stickers for R packages I've helped develop.,,,,,,,,,,,,,,,,,,,
data visualisation,3D Human Phenotype Ontology,2023,,,https://bschilder.github.io/BMSchilder/interactive/hpo_network_3d,,,,"London, UK",,,3D force-directed graph of the Human Phenotype Ontology (clouds above) with kernel density estimation projected from the x/y planes (mountains below). Connections represent the hierarchical relationships between rare diseases and their associated symptoms/phenotypes. ,[Associated preprint](https://doi.org/10.1101/2023.02.13.23285820),,,,,,,,,,,,,,,,,,
data visualisation,Multi-scale Rare Disease Mechanisms,2023,,,https://neurogenomics.github.io/RareDiseasePrioritisation/networks/top_targets_network.html,,,,"London, UK",,,Network of systematically prioritised gene therapy targets for rare diseases,[Associated preprint](https://doi.org/10.1101/2023.02.13.23285820),,,,,,,,,,,,,,,,,,
data visualisation,Curriculum Vitae Connexa,2023,,,https://bschilder.github.io/CV/network/visnetwork.html,,,,"London, UK",,,Term co-occurrence network generated by analysing all data that went into this CV.,,,,,,,,,,,,,,,,,,,
data visualisation,Experiments with Generative AI,2021,,,https://www.wombo.art/,,,,"London, UK",,,[wombo.art: 'Multi-omic medicine: dissecting the cell-type-specific mechanisms in neurodegeneration genomics'](https://bschilder.github.io/BMSchilder/images/artwork/Multi-omic_Medicine_TradingCard4.jpeg),[wombo.art: 'Multi-omic medicine: neurodegenerative disease genomics'](https://bschilder.github.io/BMSchilder/images/artwork/Multi-omic_Medicine_TradingCard5.jpeg),[wombo.art: 'Multi-omic medicine: neurodegeneration'](https://bschilder.github.io/BMSchilder/images/artwork/Neurodegeneration_TradingCard.jpeg),[wombo.art: 'Neurodegeneration'](https://bschilder.github.io/BMSchilder/images/artwork/Neurodegeneration_TradingCard2.jpeg),,,,,,,,,,,,,,,,
data visualisation,Lights in the dark genome: the current state of Parkinson’s research,2021,,,https://bschilder.github.io/BMSchilder/images/artwork/FigS1_geneshot_UMAP.pdf,,,,"London, UK",,,"The majority of PD genetics research has focused on a relatively small number of genes. Above, are the top 75 most commonly mentioned genes in the PD literature, extracted using [Geneshot](https://maayanlab.cloud/geneshot/).",[Associated study](https://doi.org/10.1016/j.nbd.2021.105580),,,,,,,,,,,,,,,,,,
data visualisation,Pacrophage,2020,,,https://bschilder.github.io/BMSchilder/images/artwork/circos_pacman.pdf,,,,"London, UK",,,Colocalised genetic loci …but shaped as Pac-Man!,[Associated study](https://doi.org/10.1038/s41588-021-00976-y),,,,,,,,,,,,,,,,,,
data visualisation,Circos,2020,,,https://bschilder.github.io/BMSchilder/images/artwork/circos.pdf,,,,"London, UK",,,Colocalised genetic loci across a variety of neurological disease GWAS and cell-type-specific QTLs.,[Associated study](https://doi.org/10.1038/s41588-021-00976-y),,,,,,,,,,,,,,,,,,
data visualisation,Wildfire Circle,2019,,,https://bschilder.github.io/BMSchilder/images/artwork/wildfire_circle.png,,,,"New York, NY, USA",,,"Awarded 2nd place in the [2019 Art of the Brain](https://friedmanbrain.icahn.mssm.edu/art-of-the-brain) competition, put on by the Mount Sinai’s Friedman Brain Institute.","Exhibited and auctioned at the [Grady Alexis Gallery (New York City)](https://tallerlatino.org/about-the-grady-alexis-gallery), where all proceeds were donated to the Diversity in Neuroscience Initiative .",[Featured on cover of Biological Psychiatry](https://bschilder.github.io/BMSchilder/images/artwork/BioPsych_cover.jpg).,,,,,,,,,,,,,,,,,
data visualisation,Wildfire,2019,,,https://bschilder.github.io/BMSchilder/images/artwork/wildfire.png,,,,"New York, NY, USA",,,"Transcriptomic data from 16k+ individual brain cells (shown as points) after reducing the dimensionality with an autoencoder and UMAP. 5 million tracts are shown interconnecting these cells, where shorter tract length represents greater similarity in their molecular profiles.",,,,,,,,,,,,,,,,,,,
data visualisation,3D Brain Model,2019,,,https://bschilder.github.io/BMSchilder/3D_brain,,,,"New York, NY, USA",,,3D model of my brain generated from MRI scans.,,,,,,,,,,,,,,,,,,,
extracurricular,Competitive Running Career,2003,\-,,https://www.tfrrs.org/athletes/1710481/Brown/Brian_Schilder.html,,,,Earth,,,"[8+ years of varsity and Division I cross country, winter track, and spring track throughout high school and college.](https://www.tfrrs.org/athletes/1710481/Brown/Brian_Schilder.html)","Year-round, daily training and travel to weekly competitions necessitated a dedicated and regimented lifestyle in order to succeed as a student-athlete",Running remains a passion of mine and I enjoy training for ultra-marathons in my free time.,"This passion, work ethic and self-insight have carried over to all aspects of my life, including my career as a researcher.",,,,,,,,,,,,,,,,
extracurricular,Music Production,1995,\-,,,,,,Earth,,,"Writes, records, produces and performs original music.","Instruments: keys, percussion, vocals, etc.",Proficient in Logic Pro X Digital Audio Workstation (DAW).,Experiments with generative AI.,,,,,,,,,,,,,,,,
